2017-02-15 20:17:08 status unpacked base-passwd:armhf 3.5.39
2017-02-15 20:17:08 status unpacked base-passwd:armhf 3.5.39
2017-02-15 20:17:08 install bash:armhf <none> 4.3-14ubuntu1
2017-02-15 20:17:08 status half-installed bash:armhf 4.3-14ubuntu1
2017-02-15 20:17:08 status unpacked bash:armhf 4.3-14ubuntu1
2017-02-15 20:17:08 status unpacked bash:armhf 4.3-14ubuntu1
2017-02-15 20:17:08 install bsdutils:armhf <none> 1:2.27.1-6ubuntu3
2017-02-15 20:17:08 status half-installed bsdutils:armhf 1:2.27.1-6ubuntu3
2017-02-15 20:17:08 status unpacked bsdutils:armhf 1:2.27.1-6ubuntu3
2017-02-15 20:17:08 status unpacked bsdutils:armhf 1:2.27.1-6ubuntu3
2017-02-15 20:17:08 install coreutils:armhf <none> 8.25-2ubuntu2
2017-02-15 20:17:08 status half-installed coreutils:armhf 8.25-2ubuntu2
2017-02-15 20:17:08 status unpacked coreutils:armhf 8.25-2ubuntu2
2017-02-15 20:17:08 status unpacked coreutils:armhf 8.25-2ubuntu2
2017-02-15 20:17:08 install dash:armhf <none> 0.5.8-2.1ubuntu2
2017-02-15 20:17:08 status half-installed dash:armhf 0.5.8-2.1ubuntu2
2017-02-15 20:17:08 status unpacked dash:armhf 0.5.8-2.1ubuntu2
2017-02-15 20:17:08 status unpacked dash:armhf 0.5.8-2.1ubuntu2
2017-02-15 20:17:08 install debconf:all <none> 1.5.58ubuntu1
2017-02-15 20:17:08 status half-installed debconf:all 1.5.58ubuntu1
2017-02-15 20:17:08 status unpacked debconf:all 1.5.58ubuntu1
2017-02-15 20:17:08 status unpacked debconf:all 1.5.58ubuntu1
2017-02-15 20:17:08 install debianutils:armhf <none> 4.7
2017-02-15 20:17:08 status half-installed debianutils:armhf 4.7
2017-02-15 20:17:09 status unpacked debianutils:armhf 4.7
2017-02-15 20:17:09 status unpacked debianutils:armhf 4.7
2017-02-15 20:17:09 install diffutils:armhf <none> 1:3.3-3
2017-02-15 20:17:09 status half-installed diffutils:armhf 1:3.3-3
2017-02-15 20:17:09 status unpacked diffutils:armhf 1:3.3-3
2017-02-15 20:17:09 status unpacked diffutils:armhf 1:3.3-3
2017-02-15 20:17:09 upgrade dpkg:armhf 1.18.4ubuntu1 1.18.4ubuntu1
2017-02-15 20:17:09 status half-configured dpkg:armhf 1.18.4ubuntu1
2017-02-15 20:17:09 status unpacked dpkg:armhf 1.18.4ubuntu1
2017-02-15 20:17:09 status half-installed dpkg:armhf 1.18.4ubuntu1
2017-02-15 20:17:09 status half-installed dpkg:armhf 1.18.4ubuntu1
2017-02-15 20:17:09 status unpacked dpkg:armhf 1.18.4ubuntu1
2017-02-15 20:17:09 status unpacked dpkg:armhf 1.18.4ubuntu1
2017-02-15 20:17:09 install e2fslibs:armhf <none> 1.42.13-1ubuntu1
2017-02-15 20:17:09 status half-installed e2fslibs:armhf 1.42.13-1ubuntu1
2017-02-15 20:17:09 status unpacked e2fslibs:armhf 1.42.13-1ubuntu1
2017-02-15 20:17:09 status unpacked e2fslibs:armhf 1.42.13-1ubuntu1
2017-02-15 20:17:09 install e2fsprogs:armhf <none> 1.42.13-1ubuntu1
2017-02-15 20:17:09 status half-installed e2fsprogs:armhf 1.42.13-1ubuntu1
2017-02-15 20:17:09 status unpacked e2fsprogs:armhf 1.42.13-1ubuntu1
2017-02-15 20:17:09 status unpacked e2fsprogs:armhf 1.42.13-1ubuntu1
2017-02-15 20:17:09 install findutils:armhf <none> 4.6.0+git+20160126-2
2017-02-15 20:17:09 status half-installed findutils:armhf 4.6.0+git+20160126-2
